,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
367,matay,28.419,30.7792,91.67,6,0,2.42,EG,1619716651
368,kutum,14.2,24.6667,86.99,11,79,7.38,SD,1619716652
369,seljord,59.4894,8.634,50.0,43,75,8.05,NO,1619716652
370,vwawa,-9.1167,32.9333,61.54,94,47,3.53,TZ,1619716653
371,mayo,38.8876,-76.5119,82.4,51,1,3.44,US,1619716653
372,anchorage,61.2181,-149.9003,44.6,61,90,4.61,US,1619716612
373,tabas,33.5959,56.9244,74.07,49,100,21.21,IR,1619716654
374,sitka,57.0531,-135.33,46.4,93,90,5.23,US,1619716423
375,otse,-25.0167,25.7333,73.4,33,0,5.75,BW,1619716655
376,asfi,32.2994,-9.2372,65.39,68,5,16.26,MA,1619716454
377,alugan,12.2188,125.4808,76.39,82,96,0.89,PH,1619716655
378,tabuk,17.4189,121.4443,74.08,87,79,3.56,PH,1619716656
379,okhotsk,59.3833,143.3,30.88,89,18,0.13,RU,1619716656
380,iqaluit,63.7506,-68.5145,33.8,93,90,12.66,CA,1619716657
381,pulaski,34.7668,-92.3001,71.6,83,90,6.91,US,1619716657
382,atherton,53.5237,-2.4935,48.99,67,100,3.0,GB,1619716658
383,bonavista,48.6499,-53.1147,48.2,57,94,4.61,CA,1619716658
384,kindu,-2.95,25.95,77.02,82,99,1.63,CD,1619716659
385,bambari,5.768,20.6757,80.58,63,100,1.81,CF,1619716659
386,high level,58.5169,-117.136,33.8,55,75,13.8,CA,1619716660
387,dunedin,-45.8742,170.5036,53.01,78,100,1.01,NZ,1619716660
388,krasnoselkup,65.7,82.4667,31.14,91,99,12.53,RU,1619716661
389,wewak,-3.5534,143.6268,78.6,86,38,8.43,PG,1619716662
390,qaqortoq,60.7167,-46.0333,41.0,70,75,5.75,GL,1619716662
391,goure,13.9835,10.2704,100.0,2,1,5.99,NE,1619716662
392,correia pinto,-27.5847,-50.3611,69.51,39,0,4.79,BR,1619716663
393,yanam,16.7333,82.2167,84.2,65,40,9.22,IN,1619716664
394,daan,33.0558,106.2958,59.13,83,16,3.04,CN,1619716664
395,mimoso do sul,-21.0642,-41.3664,76.98,69,80,6.02,BR,1619716665
396,pailon,-17.65,-62.75,78.8,46,75,12.66,BO,1619716665
397,guarapari,-20.6667,-40.4975,80.6,69,40,11.5,BR,1619716666
398,khiri mat,16.8333,99.8,82.0,99,99,5.17,TH,1619716666
399,ponta delgada,37.7333,-25.6667,60.8,63,40,17.27,PT,1619716667
400,kibaya,-5.3,36.5667,60.08,98,62,4.03,TZ,1619716667
401,pidhorodne,48.5753,35.1068,57.2,62,0,2.24,UA,1619716668
402,khandyga,62.6667,135.6,27.73,99,100,1.21,RU,1619716670
403,vazante,-17.9869,-46.9078,87.12,36,41,3.67,BR,1619716670
404,salinopolis,-0.6136,-47.3561,82.24,77,70,7.27,BR,1619716671
405,sabha,27.0377,14.4283,95.23,7,95,4.92,LY,1619716672
406,salalah,17.0151,54.0924,84.2,79,75,8.05,OM,1619716633
407,port hardy,50.6996,-127.4199,48.2,100,90,13.8,CA,1619716672
408,norman wells,65.282,-126.8329,33.8,55,75,10.36,CA,1619716670
409,plettenberg bay,-34.0527,23.3716,58.59,80,100,3.53,ZA,1619716673
410,dicabisagan,17.0818,122.4157,75.85,77,53,2.15,PH,1619716675
411,huitziltepec,17.8167,-99.4667,88.0,31,58,4.0,MX,1619716675
412,wuxue,29.8506,115.5525,64.56,79,0,4.43,CN,1619716676
413,cesvaine,56.9667,26.3167,46.36,76,100,4.07,LV,1619716676
414,esfahan,32.6572,51.6776,73.4,17,0,11.5,IR,1619716677
415,wanaka,-44.7,169.15,48.25,89,100,4.47,NZ,1619716677
416,caravelas,-17.7125,-39.2481,78.8,74,23,10.98,BR,1619716678
417,kongolo,-5.3833,27.0,76.98,77,92,1.57,CD,1619716678
418,pontian kecil,1.4801,103.3899,78.01,100,20,1.14,MY,1619716679
419,bethanien,-26.502,17.1583,61.9,42,68,16.24,NA,1619716660
420,thompson,55.7435,-97.8558,30.2,51,75,16.11,CA,1619716680
421,dalbandin,28.8947,64.4101,82.08,25,97,6.02,PK,1619716680
422,xunchang,28.4543,104.715,66.9,75,24,1.21,CN,1619716681
423,champerico,14.3,-91.9167,84.2,65,0,5.03,GT,1619716681
424,natal,-5.795,-35.2094,86.0,74,75,16.11,BR,1619716682
425,orlik,52.5178,99.825,27.79,92,46,1.45,RU,1619716682
426,burnie,-41.0667,145.9167,53.01,93,96,1.99,AU,1619716683
427,kaitangata,-46.2817,169.8464,55.0,74,100,11.01,NZ,1619716683
428,kalakamati,-20.5929,27.3121,71.4,46,40,5.64,BW,1619716684
429,payakumbuh,-0.2202,100.6308,70.75,98,100,2.21,ID,1619716684
430,tottori,35.5,134.2333,52.45,88,0,7.94,JP,1619716685
431,matara,5.9485,80.5353,78.1,88,81,5.88,LK,1619716685
432,srandakan,-7.9386,110.2506,76.82,82,94,2.17,ID,1619716669
433,pontianak,-0.0333,109.3333,78.8,94,75,2.3,ID,1619716598
434,bara,10.3744,10.7288,99.91,18,36,5.82,NG,1619716686
435,bilma,18.6853,12.9164,98.49,3,1,9.8,NE,1619716406
436,tsaratanana,-16.7833,47.65,74.71,78,57,8.57,MG,1619716687
437,kodinsk,58.6881,99.1844,25.23,94,18,3.27,RU,1619716688
438,los llanos de aridane,28.6585,-17.9182,69.8,73,75,6.91,ES,1619716688
439,mestia,43.0458,42.7278,44.19,99,100,0.83,GE,1619716689
440,najran,17.4924,44.1277,78.8,41,75,6.91,SA,1619716653
441,rundu,-17.9333,19.7667,76.42,37,69,5.57,NA,1619716689
442,porto belo,-27.1578,-48.5531,77.0,64,20,9.22,BR,1619716690
443,brae,60.3964,-1.353,44.6,65,40,18.41,GB,1619716690
444,chara,56.9064,118.2631,15.73,86,98,1.92,RU,1619716691
445,mitu,1.1983,-70.1733,77.81,92,92,4.38,CO,1619716401
446,katherine,-14.4667,132.2667,71.6,83,18,4.61,AU,1619716692
447,lasa,46.6166,10.7002,62.6,87,75,8.05,IT,1619716692
448,mamallapuram,12.6264,80.1722,87.01,74,20,6.91,IN,1619716695
449,mantua,45.1667,10.7833,60.01,92,100,1.99,IT,1619716695
450,miraflores,19.2167,-98.8083,75.2,38,1,4.61,MX,1619716696
451,qarqin,37.4185,66.0436,89.6,12,0,5.82,AF,1619716696
452,yeppoon,-23.1333,150.7333,68.0,77,40,5.75,AU,1619716442
453,nelson bay,-32.7167,152.15,53.01,93,40,3.74,AU,1619716672
454,caraquet,47.7941,-64.9386,51.8,50,14,8.05,CA,1619716698
455,avera,33.194,-82.5271,80.6,73,90,8.05,US,1619716699
456,sikonge,-5.6333,32.7667,75.2,69,20,9.22,TZ,1619716700
457,mahibadhoo,3.7833,72.9667,84.16,67,36,7.25,MV,1619716701
458,moron,-34.6534,-58.6198,75.99,50,0,3.0,AR,1619716702
459,turukhansk,65.8167,87.9833,25.05,92,88,7.16,RU,1619716702
460,montero,-17.3333,-63.25,78.8,46,75,12.66,BO,1619716704
461,lagos,6.5833,3.75,86.0,74,40,8.05,NG,1619716497
462,fortuna,40.5982,-124.1573,46.4,100,90,4.61,US,1619716668
463,lushoto,-4.7833,38.2833,60.96,94,81,2.77,TZ,1619716705
464,chiang kham,19.5233,100.3,71.6,100,90,5.75,TH,1619716706
465,onega,63.9061,38.1404,33.71,69,100,4.92,RU,1619716706
466,alofi,-19.0595,-169.9187,75.2,100,100,1.14,NU,1619716707
467,southport,53.6478,-3.0065,48.2,61,20,9.22,GB,1619716707
468,nizwa,22.9333,57.5333,84.58,28,100,6.58,OM,1619716708
469,mbaiki,3.8678,17.9892,81.25,57,95,4.09,CF,1619716448
470,xichang,27.8964,102.2634,61.43,54,92,0.65,CN,1619716709
471,rafraf,37.1904,10.1837,75.2,73,20,8.05,TN,1619716709
472,berlevag,70.8578,29.0864,32.0,74,75,19.57,NO,1619716710
473,oranjemund,-28.55,16.4333,58.82,87,0,21.14,NA,1619716710
474,isangel,-19.55,169.2667,73.17,76,31,12.28,VU,1619716706
475,labuhan,-6.8844,112.2051,78.62,85,87,6.29,ID,1619716701
476,gizo,-8.103,156.8419,81.3,73,88,3.42,SB,1619716711
477,kupang,-10.1667,123.5833,76.96,88,53,6.35,ID,1619716712
478,kalugumalai,9.15,77.7167,85.01,63,77,9.89,IN,1619716713
479,smithers,54.7804,-127.1743,50.0,76,75,8.05,CA,1619716502
480,marabba,12.35,32.1833,95.56,30,88,15.32,SD,1619716714
481,aginskoye,51.1,114.53,31.14,91,100,7.29,RU,1619716714
482,hami,42.8,93.45,73.45,16,15,7.49,CN,1619716709
483,boyolangu,-8.1181,111.8935,75.25,89,97,0.72,ID,1619716715
484,husavik,66.0449,-17.3389,42.8,65,0,13.8,IS,1619716705
485,fraga,41.5229,0.3489,68.0,63,40,8.05,ES,1619716715
486,lorengau,-2.0226,147.2712,80.28,80,51,4.21,PG,1619716716
487,nurlat,54.4277,50.8051,43.38,74,75,6.08,RU,1619716572
488,starcevo,41.4167,25.0667,64.4,72,0,5.75,BG,1619716716
489,formosa,-26.1775,-58.1781,73.4,53,0,6.91,AR,1619716717
490,poum,-20.2333,164.0167,75.13,62,36,14.79,NC,1619716717
491,vestmannaeyjar,63.4427,-20.2734,42.8,87,90,3.44,IS,1619716718
492,suhbaatar,50.2314,106.2078,37.18,53,100,4.85,MN,1619716718
493,ghorawal,24.7667,82.7833,90.21,8,10,3.6,IN,1619716719
494,huangmei,30.1924,116.025,65.89,78,0,1.92,CN,1619716719
495,abu samrah,35.3029,37.1841,78.21,35,44,11.05,SY,1619716720
496,eenhana,-17.4667,16.3333,76.15,37,47,2.77,NA,1619716721
497,karratha,-20.7377,116.8463,80.17,46,0,7.0,AU,1619716722
498,gushikawa,26.3544,127.8686,62.6,88,20,3.44,JP,1619716676
499,cody,44.5263,-109.0565,64.99,25,1,4.61,US,1619716618
500,severo-kurilsk,50.6789,156.125,34.59,89,77,7.11,RU,1619716724
501,katobu,-4.9408,122.5276,74.34,84,73,2.59,ID,1619716725
502,brantford,43.1334,-80.2664,48.99,92,100,1.99,CA,1619716726
503,sobolevo,54.4299,31.8996,47.84,70,100,8.01,RU,1619716726
504,jinchang,38.4953,102.1739,61.57,20,12,14.0,CN,1619716727
505,ibra,22.6906,58.5334,87.06,23,97,6.42,OM,1619716727
506,tura,25.5198,90.2201,80.38,31,30,3.29,IN,1619716728
507,alice springs,-23.7,133.8833,46.4,57,60,5.75,AU,1619716675
508,ust-barguzin,53.45,108.9833,19.65,90,28,0.4,RU,1619716728
509,sorkjosen,69.8,20.9333,32.0,93,90,11.5,NO,1619716729
510,mehamn,71.0357,27.8492,32.0,74,40,2.3,NO,1619716730
511,qinhuangdao,39.9317,119.5883,48.2,54,5,3.22,CN,1619716730
512,nome,64.5011,-165.4064,23.0,74,1,8.05,US,1619716512
513,paamiut,61.994,-49.6678,37.44,81,17,4.18,GL,1619716732
514,hede,33.7681,120.2517,53.83,65,2,5.32,CN,1619716732
515,novouzensk,50.4592,48.1431,50.27,46,27,5.12,RU,1619716733
516,palauig,15.435,119.9045,78.93,75,72,7.74,PH,1619716734
517,tautira,-17.7333,-149.15,77.0,78,20,4.61,PF,1619716734
518,anadyr,64.75,177.4833,14.0,85,0,4.47,RU,1619716735
519,olinda,-8.0089,-34.8553,82.4,69,40,14.97,BR,1619716735
520,baker city,44.7749,-117.8344,59.0,58,1,4.25,US,1619716736
521,reconquista,-29.15,-59.65,72.03,43,0,5.1,AR,1619716737
522,lake havasu city,34.4839,-114.3224,84.2,12,1,12.66,US,1619716679
523,manta,-0.95,-80.7333,84.2,70,75,8.05,EC,1619716672
524,antibes,43.5624,7.1278,62.6,88,20,2.3,FR,1619716737
525,weymouth,42.2209,-70.9398,55.99,100,100,5.23,US,1619716542
526,cururupu,-1.8283,-44.8683,84.15,74,65,4.16,BR,1619716738
527,grand gaube,-20.0064,57.6608,77.0,86,38,7.0,MU,1619716673
528,puerto baquerizo moreno,-0.9,-89.6,82.4,74,20,14.97,EC,1619716739
529,murgab,37.4966,61.9714,77.0,36,90,18.41,TM,1619716739
530,kefamenanu,-9.4467,124.4781,70.21,94,49,2.55,ID,1619716740
531,shakawe,-18.3667,21.85,73.51,50,70,2.71,BW,1619716741
532,kahului,20.8947,-156.47,73.4,100,40,6.91,US,1619716524
533,port victoria,0.0939,33.9756,73.44,75,69,4.34,KE,1619716742
534,foxton,-40.4667,175.3,54.0,93,100,4.0,NZ,1619716742
535,presidente franco,-25.5333,-54.6167,80.6,47,0,2.3,PY,1619716743
536,doka,13.5167,35.7667,98.6,13,85,15.17,SD,1619716640
537,esperance,-33.8667,121.9,64.4,82,90,20.71,AU,1619716733
538,male,4.1748,73.5089,86.0,79,75,9.22,MV,1619716504
539,sabang,5.8933,95.3214,83.37,69,100,3.62,ID,1619716718
540,mao,39.8885,4.2658,64.4,82,20,5.75,ES,1619716745
541,wamba,8.9333,8.6,93.69,32,31,8.95,NG,1619716745
542,bardiyah,31.7561,25.0865,75.27,47,1,6.44,LY,1619716746
543,carauari,-4.8828,-66.8958,77.92,85,100,4.23,BR,1619716683
544,san joaquin,37.9333,-121.3011,79.0,33,1,6.91,US,1619716747
545,sembakung,3.8167,117.25,72.9,98,31,0.92,ID,1619716697
546,strone,55.9856,-4.908,53.01,46,100,6.91,GB,1619716747
547,tilichiki,60.4667,166.1,30.4,98,100,1.68,RU,1619716724
548,eyl,7.9803,49.8164,84.63,69,61,11.72,SO,1619716748
549,antalaha,-14.9003,50.2788,76.62,85,1,9.46,MG,1619716748
550,zyryanskoye,56.8306,86.6258,44.73,78,100,6.82,RU,1619716749
551,gogrial,8.5332,28.1004,78.58,68,99,1.19,SS,1619716749
552,puerto ayacucho,5.6639,-67.6236,74.59,93,100,2.53,VE,1619716750
553,darhan,49.4867,105.9228,37.76,81,100,5.82,MN,1619716730
554,barreirinhas,-2.7469,-42.8264,83.25,76,96,6.51,BR,1619716751
555,lawton,34.6087,-98.3903,66.2,68,1,17.27,US,1619716751
556,san policarpo,12.1791,125.5072,76.82,81,90,1.32,PH,1619716711
557,raga,8.4596,25.678,78.13,64,96,4.52,SS,1619716752
558,sao miguel do araguaia,-13.275,-50.1628,88.09,50,69,4.9,BR,1619716753
